year;date_time;event;moon_cycle;start_moon_cycle;tide_cycle;start_tide_cycle
2012;2012-04-29 03:57;fq;4;NA;7;2012-04-29 03:57
2012;2012-05-05 21:35;fm;4;NA;7;NA
2012;2012-05-12 15:46;lq;4;NA;8;2012-05-12 15:46
2012;2012-05-20 17:47;nm;5;2012-05-20 17:47;8;NA
2012;2012-05-28 14:16;fq;5;NA;9;2012-05-28 14:16
2012;2012-06-04 05:11;fm;5;NA;9;NA
2012;2012-06-11 04:41;lq;5;NA;10;2012-06-11 04:41
2012;2012-06-19 09:02;nm;6;2012-06-19 09:02;10;NA
2012;2012-06-26 21:30;fq;6;NA;11;2012-06-26 21:30
2012;2012-07-03 12:51;fm;6;NA;11;NA
2012;2012-07-10 19:47;lq;6;NA;12;2012-07-10 19:47
2012;2012-07-18 22:23;nm;7;2012-07-18 22:23;12;NA
2012;2012-07-26 02:56;fq;7;NA;13;2012-07-26 02:56
2013;2013-01-04 20:57;lq;0;NA;0;NA
2013;2013-01-11 12:43;nm;1;2013-01-11 12:43;0;NA
2013;2013-01-18 16:45;fq;1;NA;1;2013-01-18 16:45
2013;2013-01-26 21:38;fm;1;NA;1;NA
2013;2013-02-03 06:56;lq;1;NA;2;2013-02-03 06:56
2013;2013-02-10 00:20;nm;2;2013-02-10 00:20;2;NA
2013;2013-02-17 13:30;fq;2;NA;3;2013-02-17 13:30
2013;2013-02-25 13:26;fm;2;NA;3;NA
2013;2013-03-04 14:52;lq;2;NA;4;2013-03-04 14:52
2013;2013-03-11 12:50;nm;3;2013-03-11 12:50;4;NA
2013;2013-03-19 10:26;fq;3;NA;5;2013-03-19 10:26
2013;2013-03-27 02:27;fm;3;NA;5;NA
2013;2013-04-02 21:36;lq;3;NA;6;2013-04-02 21:36
2013;2013-04-10 03:35;nm;4;2013-04-10 03:35;6;NA
2013;2013-04-18 06:30;fq;4;NA;7;2013-04-18 06:30
2013;2013-04-25 13:57;fm;4;NA;7;NA
2013;2013-05-02 05:14;lq;4;NA;8;2013-05-02 05:14
2013;2013-05-09 18:28;nm;5;2013-05-09 18:28;8;NA
2013;2013-05-17 22:34;fq;5;NA;9;2013-05-17 22:34
2013;2013-05-24 22:24;fm;5;NA;9;NA
2013;2013-05-31 12:58;lq;5;NA;10;2013-05-31 12:58
2013;2013-06-08 09:56;nm;6;2013-06-08 09:56;10;NA
2013;2013-06-16 11:23;fq;6;NA;11;2013-06-16 11:23
2013;2013-06-23 05:32;fm;6;NA;11;NA
2013;2013-06-29 22:53;lq;6;NA;12;2013-06-29 22:53
2013;2013-07-08 01:14;nm;7;2013-07-08 01:14;12;NA
2013;2013-07-15 21:18;fq;7;NA;13;2013-07-15 21:18
2013;2013-07-22 12:15;fm;7;NA;13;NA
2013;2013-07-29 11:43;lq;7;NA;14;2013-07-29 11:43
2015;2015-01-04 21:53;fm;0;NA;0;NA
2015;2015-01-13 02:46;lq;0;NA;0;NA
2015;2015-01-20 06:13;nm;1;2015-01-20 06:13;0;NA
2015;2015-01-26 21:48;fq;1;NA;1;2015-01-26 21:48
2015;2015-02-03 16:08;fm;1;NA;1;NA
2015;2015-02-11 20:49;lq;1;NA;2;2015-02-11 20:49
2015;2015-02-18 16:47;nm;2;2015-02-18 16:47;2;NA
2015;2015-02-25 10:14;fq;2;NA;3;2015-02-25 10:14
2015;2015-03-03 11:05;fm;2;NA;3;NA
2015;2015-03-13 10:47;lq;2;NA;4;2015-03-13 10:47
2015;2015-03-20 02:36;nm;3;2015-03-20 02:36;4;NA
2015;2015-03-27 00:42;fq;3;NA;5;2015-03-27 00:42
2015;2015-04-04 05:05;fm;3;NA;5;NA
2015;2015-04-11 21:44;lq;3;NA;6;2015-04-11 21:44
2015;2015-04-18 12:56;nm;4;2015-04-18 12:56;6;NA
2015;2015-04-25 17:55;fq;4;NA;7;2015-04-25 17:55
2015;2015-05-03 21:42;fm;4;NA;7;NA
2015;2015-05-11 04:36;lq;4;NA;8;2015-05-11 04:36
2015;2015-05-17 22:13;nm;5;2015-05-17 22:13;8;NA
2015;2015-05-25 11:18;fq;5;NA;9;2015-05-25 11:18
2015;2015-06-02 10:19;fm;5;NA;9;NA
2015;2015-06-09 09:41;lq;5;NA;10;2015-06-09 09:41
2015;2015-06-16 08:05;nm;6;2015-06-16 08:05;10;NA
2015;2015-06-24 05:02;fq;6;NA;11;2015-06-24 05:02
2015;2015-07-01 20:19;fm;6;NA;11;NA
2015;2015-07-08 14:24;lq;6;NA;12;2015-07-08 14:24
2015;2015-07-15 19:24;nm;7;2015-07-15 19:24;12;NA
2015;2015-07-23 22:04;fq;7;NA;13;2015-07-23 22:04
2016;2016-01-01 22:30;lq;0;NA;0;NA
2016;2016-01-09 18:30;nm;1;2016-01-09 18:30;0;NA
2016;2016-01-16 16:26;fq;1;NA;1;2016-01-16 16:26
2016;2016-01-23 18:45;fm;1;NA;1;NA
2016;2016-01-31 20:27;lq;1;NA;2;2016-01-31 20:27
2016;2016-02-08 07:38;nm;2;2016-02-08 07:38;2;NA
2016;2016-02-15 00:46;fq;2;NA;3;2016-02-15 00:46
2016;2016-02-22 11:19;fm;2;NA;3;NA
2016;2016-03-01 16:10;lq;2;NA;4;2016-03-01 16:10
2016;2016-03-08 18:54;nm;3;2016-03-08 18:54;4;NA
2016;2016-03-15 10:02;fq;3;NA;5;2016-03-15 10:02
2016;2016-03-23 05:00;fm;3;NA;5;NA
2016;2016-03-31 08:16;lq;3;NA;6;2016-03-31 08:16
2016;2016-04-07 05:23;nm;4;2016-04-07 05:23;6;NA
2016;2016-04-13 21:59;fq;4;NA;7;2016-04-13 21:59
2016;2016-04-21 23:23;fm;4;NA;7;NA
2016;2016-04-29 21:28;lq;4;NA;8;2016-04-29 21:28
2016;2016-05-06 13:29;nm;5;2016-05-06 13:29;8;NA
2016;2016-05-13 11:02;fq;5;NA;9;2016-05-13 11:02
2016;2016-05-21 15:14;fm;5;NA;9;NA
2016;2016-05-29 06:11;lq;5;NA;10;2016-05-29 06:11
2016;2016-06-04 20:59;nm;6;2016-06-04 20:59;10;NA
2016;2016-06-12 02:09;fq;6;NA;11;2016-06-12 02:09
2016;2016-06-20 05:02;fm;6;NA;11;NA
2016;2016-06-27 12:18;lq;6;NA;12;2016-06-27 12:18
2016;2016-07-04 05:01;nm;7;2016-07-04 05:01;12;NA
2016;2016-07-11 18:51;fq;7;NA;13;2016-07-11 18:51
2016;2016-07-19 16:56;fm;7;NA;13;NA
2016;2016-07-26 16:59;lq;7;NA;14;2016-07-26 16:59
